countrycode,ticket_split2
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,1
1056,0
1056,1
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,1
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,1
1056,0
1056,1
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,0
1056,0
1056,1
1056,0
1056,0
1056,0
1056,1
1056,1
1056,0
1056,0
1056,0
1056,1
1056,0
1056,1
1056,1
